
「4g线路1」,#genre#
Rock Action,http://209.146.124.22:8891/4gtv/180
Rock Entertainment,http://209.146.124.22:8891/4gtv/275
金光布袋戲,http://209.146.124.22:8891/4gtv/236
霹靂布袋戲,http://209.146.124.22:8891/4gtv/301
DreamWorks 夢工廠動畫,http://209.146.124.22:8891/4gtv/282
Nickelodeon,http://209.146.124.22:8891/4gtv/185
Nick Jr. 兒童頻道,http://209.146.124.22:8891/4gtv/219
i-Fun 動漫台,http://209.146.124.22:8891/litv/litv-ftv15
兒童卡通台,http://209.146.124.22:8891/4gtv/269
精選動漫台,http://209.146.124.22:8891/4gtv/204
經典卡通台,http://209.146.124.22:8891/4gtv/202
達文西頻道,http://209.146.124.22:8891/litv/4gtv-4gtv018
超人力霸王整套看,http://209.146.124.22:8891/4gtv/278
MOMO 親子台,http://209.146.124.22:8891/4gtv/231
LiveABC 互動英語台,http://209.146.124.22:8891/4gtv/188
Classica 古典樂,http://209.146.124.22:8891/litv/4gtv-4gtv059
Lifetime 娛樂頻道,http://209.146.124.22:8891/4gtv/217
MTV Live HD 音樂頻道,http://209.146.124.22:8891/4gtv/213
Mezzo Live,http://209.146.124.22:8891/litv/4gtv-4gtv083
豬哥亮歌廳秀,http://209.146.124.22:8891/litv/4gtv-4gtv006
Trace Urban,http://209.146.124.22:8891/litv/4gtv-4gtv082
Global Trekker,http://209.146.124.22:8891/4gtv/252
Globetrotter 環遊旅行家,http://209.146.124.22:8891/litv/4gtv-4gtv016
LUXE TV,http://209.146.124.22:8891/4gtv/175
Pet Club TV,http://209.146.124.22:8891/4gtv/182
TV5MONDE Style,http://209.146.124.22:8891/4gtv/178
車迷 TV,http://209.146.124.22:8891/4gtv/160
Love Nature,http://209.146.124.22:8891/4gtv/139
Fun 探索娛樂台,http://209.146.124.22:8891/4gtv/274
幸福空間居家台,http://209.146.124.22:8891/4gtv/168
Arirang TV,http://209.146.124.22:8891/litv/4gtv-4gtv079
Bloomberg TV,http://209.146.124.22:8891/4gtv/283
VOA 美國之音,http://209.146.124.22:8891/litv/litv-ftv03
DW德國之聲,http://209.146.124.22:8891/4gtv/226
SBN 全球財經台,http://209.146.124.22:8891/4gtv/224
半島國際新聞台,http://209.146.124.22:8891/litv/litv-ftv10
第1商業台,http://209.146.124.22:8891/litv/4gtv-4gtv104
