5008,#genre#
半島國際新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv10/index.m3u8
半島國際新聞台,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv10/index.m3u8
台視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv066/index.m3u8
台視HD,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv066/index.m3u8
台視財經台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8
台視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv051/index.m3u8
台視新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv051/index.m3u8
台灣戲劇台,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn22/index.m3u8
台灣戲劇台,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn22/index.m3u8
民視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv002/index.m3u8
民視台灣台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8
民視台灣台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv001/index.m3u8
民視旅遊,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv07/index.m3u8
民視旅遊,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv07/index.m3u8
民視第一台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8
民視第一台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv003/index.m3u8
民視新聞,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv13/index.m3u8
民視新聞,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8
民視綜藝,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv004/index.m3u8
民視綜藝,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv004/index.m3u8
民視影劇,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv09/index.m3u8
民視影劇,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv09/index.m3u8
好消息,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv16/index.m3u8
好消息,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv16/index.m3u8
好消息,http://xn--elt51t.azip.dpdns.org:5008/of-litv-ftv16/index.m3u8
好消息2台,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv17/index.m3u8
好消息2台,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv17/index.m3u8
好消息2台,http://xn--elt51t.azip.dpdns.org:5008/of-litv-ftv17/index.m3u8
