新聞台,#genre#
臺灣|中天綜合 CTI Metro,https://smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
臺灣|八大綜合 GTV Metro,https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
臺灣|愛爾達綜合臺,https://smart.pendy.dpdns.org/Smart.php?id=eltazonghe_twn
臺灣|東森綜合 ETTV Metro,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
臺灣|東森超視,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper
臺灣|緯來日本臺,https://smart.pendy.dpdns.org/Smart.php?id=videolandjapan
臺灣|緯來綜合臺,https://smart.pendy.dpdns.org/Smart.php?id=videolandzonghe
臺灣|緯來育樂,https://smart.pendy.dpdns.org/Smart.php?id=videolandyule
臺灣|臺視綜合臺,https://smart.pendy.dpdns.org/Smart.php?id=ttvzhonghe
靖天日本,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv047/index.m3u8
靖天日本,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv047/index.m3u8
靖天綜合,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv046/index.m3u8
靖天綜合,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv046/index.m3u8
靖天育樂,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv062/index.m3u8
靖天育樂,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv062/index.m3u8
綜合台2,#genre#
ELTA娛樂,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv070/index.m3u8
ELTA娛樂,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv070/index.m3u8
fun探索娛樂臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live011/index.m3u8
中天亞洲精采臺,http://xn--elt51t.azip.dpdns.org:5008/ofiii36/index.m3u8
中天亞洲臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv109/index.m3u8
中視經典臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv080/index.m3u8
中視經典臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv080/index.m3u8
中視菁採臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv064/index.m3u8
中視菁採臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv064/index.m3u8
八大精彩,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv034/index.m3u8
八大精彩,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv034/index.m3u8
東森娛樂臺,http://xn--elt51t.azip.dpdns.org:5008/ofiii32/index.m3u8
民視第一臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8
民視第一臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv003/index.m3u8
民視臺灣臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8
民視臺灣臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv001/index.m3u8
經典卡通臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live022/index.m3u8
經典電影臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live021/index.m3u8
臺灣|AXN Taiwan,https://smart.pendy.dpdns.org/Smart.php?id=axn_twn
臺灣|三立臺灣 Sanli Taiwan,https://smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
臺灣|三立都會臺,https://smart.pendy.dpdns.org/Smart.php?id=sanlidouhui
臺灣|中天亞洲臺,https://smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
臺灣|中天娛樂 CTI Entertaiment,https://smart.pendy.dpdns.org/Smart.php?id=ctient
臺灣|八大娛樂 GTV Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=badaentertain
臺灣|八大第一 GTV First,https://smart.pendy.dpdns.org/Smart.php?id=badafirst
臺灣|民視臺灣台,https://smart.pendy.dpdns.org/Smart.php?id=ftvtaiwan_twn
臺灣|緯來精彩,https://smart.pendy.dpdns.org/Smart.php?id=videolandspecial_twn
臺灣|靖天國際臺,https://smart.pendy.dpdns.org/Smart.php?id=jingtianintl_twn
臺灣|龍華經典臺,https://smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
豬哥亮歌廳秀,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv006/index.m3u8
豬哥亮歌廳秀,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv006/index.m3u8
金光布袋戲,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live144/index.m3u8
霹靂布袋戲,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live145/index.m3u8
靖天國際,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv063/index.m3u8
靖天國際,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv063/index.m3u8
靖天歡樂,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv054/index.m3u8
靖天歡樂,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv054/index.m3u8
靖天資訊,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv065/index.m3u8
靖天資訊,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv065/index.m3u8
韓國娛樂臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv016/index.m3u8
龍華經典,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn21/index.m3u8
龍華經典,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn21/index.m3u8
電影,#genre#
amc 電影臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv017/index.m3u8
影迷數位電影臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv011/index.m3u8
影迷數位電影臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv011/index.m3u8
臺灣|CINEMAX,https://smart.pendy.dpdns.org/Smart.php?id=cinemax_twn
臺灣|HBO_HD,https://smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
臺灣|HBO_HITS,https://smart.pendy.dpdns.org/Smart.php?id=hbohit_twn
臺灣|東森洋片 ETTV Western,https://smart.pendy.dpdns.org/Smart.php?id=ettvwestern
臺灣|東森電影 ETTV Movie,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
臺灣|緯來電影臺,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
臺灣|龍華洋片 Lunghua Western,https://smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
臺灣|龍詳時代,https://smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn
電影頻道|Axn HD,https://smart.pendy.dpdns.org/Smart.php?id=Axn
電影頻道|Cinemax,https://smart.pendy.dpdns.org/Smart.php?id=Cinemax
電影頻道|Dreamworks,https://smart.pendy.dpdns.org/Smart.php?id=Dreamworks
電影頻道|HBO Family,https://smart.pendy.dpdns.org/Smart.php?id=Hbofamily
電影頻道|HBO HD,https://smart.pendy.dpdns.org/Smart.php?id=Hbo
電影頻道|HBO Hits,https://smart.pendy.dpdns.org/Smart.php?id=Hbohitshd
電影頻道|HBO Signature,https://smart.pendy.dpdns.org/Smart.php?id=Hbosignature
電影頻道|Hits,https://smart.pendy.dpdns.org/Smart.php?id=Hits
電影頻道|Hits Movie,https://smart.pendy.dpdns.org/Smart.php?id=Hitsmovie
電影頻道|Rock Actions,https://smart.pendy.dpdns.org/Smart.php?id=Rockaction
靖天映畫,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv055/index.m3u8
靖天映畫,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv055/index.m3u8
靖天電影,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv061/index.m3u8
靖天電影,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv061/index.m3u8
龍華洋片,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn02/index.m3u8
龍華洋片,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn02/index.m3u8
龍華電影,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn03/index.m3u8
龍華電影,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn03/index.m3u8
戲劇,#genre#
公視戲劇,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv042/index.m3u8
公視戲劇,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv042/index.m3u8
採昌影劇,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv049/index.m3u8
採昌影劇,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv049/index.m3u8
民視影劇,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv09/index.m3u8
民視影劇,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv09/index.m3u8
臺灣|EYETV 戲劇,https://smart.pendy.dpdns.org/Smart.php?id=eyetvxiju_twn
臺灣|三立戲劇臺,https://smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
臺灣|八大戲劇 GTV Drama,https://smart.pendy.dpdns.org/Smart.php?id=badadrama
臺灣|愛爾達影劇臺,https://smart.pendy.dpdns.org/Smart.php?id=eltayingju_twn
臺灣|東森戲劇 ETTV Drama,https://smart.pendy.dpdns.org/Smart.php?id=ettvdrama
臺灣|龍華偶像,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaidol_twn
臺灣|龍華戲劇 Lunghua Drama,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaxiju_twn
靖天戲劇,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv058/index.m3u8
靖天戲劇,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv058/index.m3u8
靖洋戲劇,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv045/index.m3u8
靖洋戲劇,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv045/index.m3u8
龍華偶像,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn12/index.m3u8
龍華偶像,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn12/index.m3u8
龍華戲劇,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn18/index.m3u8
龍華戲劇,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn18/index.m3u8
龍華日韓,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn11/index.m3u8
龍華日韓,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn11/index.m3u8
四台,#genre#
中視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv040/index.m3u8
