綜合台,#genre#
AXN,http://122.117.71.103:8669/http/61.222.53.250%3A8081/hls/71/813/ch43.m3u8
AXN,http://211.23.114.106:9357/http/61.219.99.20%3A8081/hls/71/813/ch43.m3u8
AXN,http://220.134.196.147:8526/http/61.219.99.20%3A8081/hls/71/813/ch43.m3u8
CINEMAX,http://125.227.210.55:8151/VideoInput/play.ts
CINEMAX HD,http://122.117.71.103:8670/http/61.222.53.250%3A8081/hls/71/813/ch42.m3u8
CINEMAX HD,http://211.23.114.106:9358/http/61.219.99.20%3A8081/hls/71/813/ch42.m3u8
CINEMAX HD,http://220.134.196.147:8535/http/61.219.99.20%3A8081/hls/71/813/ch42.m3u8
HBO,http://122.117.71.103:8668/http/61.222.53.250%3A8081/hls/71/813/ch41.m3u8
HBO,http://125.227.210.55:8153/VideoInput/play.ts
HBO,http://211.23.114.106:9356/http/61.219.99.20%3A8081/hls/71/813/ch41.m3u8
HBO,http://220.134.196.147:9520/http/61.219.99.20%3A8081/hls/71/813/ch41.m3u8
好萊塢電影HD,http://122.117.71.103:8689/http/61.222.53.250%3A8081/hls/74/816/ch55.m3u8
好萊塢電影HD,http://211.23.114.106:9353/http/61.219.99.20%3A8081/hls/74/816/ch55.m3u8
好萊塢電影HD,http://220.134.196.147:8543/http/61.219.99.20%3A8081/hls/74/816/ch55.m3u8
經典電影,http://61.133.118.228:5001/yy/1356363815
緯來電影HD,http://122.117.71.103:8666/http/61.222.53.250%3A8081/hls/69/811/ch35.m3u8
緯來電影HD,http://211.23.114.106:9354/http/61.219.99.20%3A8081/hls/69/811/ch35.m3u8
緯來電影HD,http://220.134.196.147:8574/http/61.219.99.20%3A8081/hls/69/811/ch35.m3u8
龍華電影台,http://122.117.71.103:8667/http/61.222.53.250%3A8068/hls/10/80/cstv10.m3u8
龍華電影台,http://211.23.114.106:8509/http/61.219.99.20%3A8068/hls/10/80/cstv10.m3u8
龍華電影台,http://220.134.196.147:8545/http/61.219.99.20%3A8068/hls/10/80/cstv10.m3u8

戲劇,#genre#
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
八大戲劇HD,http://122.117.71.103:8653/http/61.222.53.250%3A8081/hls/66/808/ch23.m3u8
八大戲劇HD,http://211.23.114.106:9330/http/61.219.99.20%3A8081/hls/66/808/ch23.m3u8
八大戲劇HD,http://220.134.196.147:8552/http/61.219.99.20%3A8081/hls/66/808/ch23.m3u8
東森戲劇HD,http://122.117.71.103:8652/http/61.222.53.250%3A8081/hls/64/806/ch13.m3u8
東森戲劇HD,http://211.23.114.106:8552/http/61.219.99.20%3A8081/hls/64/806/ch13.m3u8
東森戲劇HD,http://220.134.196.147:8536/http/61.219.99.20%3A8081/hls/64/806/ch13.m3u8
緯來戲劇,http://122.117.71.103:8655/http/61.222.53.250%3A8081/hls/69/811/ch33.m3u8
緯來戲劇,http://211.23.114.106:9332/http/61.219.99.20%3A8081/hls/69/811/ch33.m3u8
緯來戲劇,http://220.134.196.147:8504/http/61.219.99.20%3A8081/hls/69/811/ch33.m3u8
龍華偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華偶像劇,http://122.117.71.103:8680/http/61.222.53.250%3A8068/hls/11/80/cstv11.m3u8
龍華偶像劇,http://211.23.114.106:8515/http/61.219.99.20%3A8068/hls/11/80/cstv11.m3u8
